                                    sIP|                                    dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sen|
              fe80::da50:e6ff:fe3b:76fa|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         9|       576|        |2015/04/10T14:02:16.438| 1495.250|2015/04/10T14:27:11.688|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:3::42|20502|33435| 17|        24|      2112|        |2015/04/10T14:22:20.934|    4.050|2015/04/10T14:22:24.984|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::2001|50649|  443|  6|        15|      2076|        |2015/04/10T14:23:25.846|  245.500|2015/04/10T14:27:31.346|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::2001|50650|  443|  6|        14|      2028|        |2015/04/10T14:23:25.846|  245.500|2015/04/10T14:27:31.346|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::2001|50651|  443|  6|        14|      1814|        |2015/04/10T14:23:25.896|  245.450|2015/04/10T14:27:31.346|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200e|50616|  443|  6|       114|     31025|        |2015/04/10T14:21:50.996|  340.350|2015/04/10T14:27:31.346|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::2001|50647|  443|  6|        18|      2056|        |2015/04/10T14:23:25.846|  245.500|2015/04/10T14:27:31.346|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::2001|50648|  443|  6|        14|      2122|        |2015/04/10T14:23:25.846|  245.500|2015/04/10T14:27:31.346|  0|
              fe80::92e2:baff:fe5a:7ded|              fe80::d2c7:89ff:fea9:4880|    0|34560| 58|         1|        72|        |2015/04/10T14:22:38.784|    0.000|2015/04/10T14:22:38.784|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|         2a03:2880:f011:8:face:b00c:0:1|50804|  443|  6|         8|      1061|        |2015/04/10T14:26:24.746|   74.050|2015/04/10T14:27:38.796|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|         2a03:2880:f011:1:face:b00c:0:1|50808|  443|  6|         8|      1061|        |2015/04/10T14:26:24.796|   74.000|2015/04/10T14:27:38.796|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|         2a03:2880:f011:1:face:b00c:0:1|50755|  443|  6|        17|      3763|        |2015/04/10T14:26:01.246|   97.550|2015/04/10T14:27:38.796|  0|
              fe80::92e2:baff:fe5a:7ded|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T14:22:43.884|    0.050|2015/04/10T14:22:43.934|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::2003|50610|  443|  6|        38|      5917|        |2015/04/10T14:21:50.506|  350.800|2015/04/10T14:27:41.306|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::2003|50612|  443|  6|       157|     15333|        |2015/04/10T14:21:50.506|  350.800|2015/04/10T14:27:41.306|  0|
  2607:2000:100:116:92e2:baff:fe5a:7ded|     2606:2800:220:1:248:1893:25c8:1946|38064|   25|  6|         5|       400|        |2015/04/10T14:22:33.780|   14.750|2015/04/10T14:22:48.530|  0|
  2607:2000:100:116:92e2:baff:fe5a:7ded|     2606:2800:220:1:248:1893:25c8:1946|38065|   25|  6|         5|       400|        |2015/04/10T14:22:33.780|   14.750|2015/04/10T14:22:48.530|  0|
  2607:2000:100:116:92e2:baff:fe5a:7ded|     2606:2800:220:1:248:1893:25c8:1946|38066|   25|  6|         5|       400|        |2015/04/10T14:22:33.780|   14.750|2015/04/10T14:22:48.530|  0|
  2607:2000:100:116:92e2:baff:fe5a:7ded|     2606:2800:220:1:248:1893:25c8:1946|38067|   25|  6|         5|       400|        |2015/04/10T14:22:33.780|   14.750|2015/04/10T14:22:48.530|  0|
  2607:2000:100:116:92e2:baff:fe5a:7ded|     2606:2800:220:1:248:1893:25c8:1946|38063|   25|  6|         5|       400|        |2015/04/10T14:22:33.780|   14.750|2015/04/10T14:22:48.530|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                            2001:7fd::1|55346|   53| 17|         1|        80|        |2015/04/10T14:22:58.484|    0.050|2015/04/10T14:22:58.534|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200e|50621|  443|  6|        54|     32074|        |2015/04/10T14:21:51.688|  369.650|2015/04/10T14:28:01.338|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                      2620:98:4000:8::1|56056|  123| 17|         1|        96|        |2015/04/10T14:23:09.634|    0.150|2015/04/10T14:23:09.784|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                            2001:7fd::1|41043|   53| 17|         1|        75|        |2015/04/10T14:23:08.234|    0.000|2015/04/10T14:23:08.234|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200e|50624|  443|  6|       187|     42687|        |2015/04/10T14:21:52.506|  378.750|2015/04/10T14:28:11.256|  0|
  2607:2000:100:116:92e2:baff:fe5a:7685|   2001:200:dff:fff1:216:3eff:feb1:44d7|56707|   80|  6|         8|       785|        |2015/04/10T14:28:23.914|    0.500|2015/04/10T14:28:24.414|  0|
  2607:2000:100:116:92e2:baff:fe5a:7685|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        72|        |2015/04/10T14:28:24.114|    0.050|2015/04/10T14:28:24.164|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:3::42|40969|   53| 17|         1|        75|        |2015/04/10T14:23:24.574|    0.100|2015/04/10T14:23:24.674|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|                 2607:f8b0:4002:c06::5e|50656|   80|  6|        12|      2274|        |2015/04/10T14:24:12.080|  248.700|2015/04/10T14:28:20.780|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200d|50600|  443|  6|        35|     16046|        |2015/04/10T14:21:47.430|  393.850|2015/04/10T14:28:21.280|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|                 2607:f8b0:4002:c06::79|50659|   80|  6|        11|      1039|        |2015/04/10T14:24:13.680|  247.100|2015/04/10T14:28:20.780|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::2004|50660|   80|  6|        11|      1288|        |2015/04/10T14:24:13.780|  247.000|2015/04/10T14:28:20.780|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::2003|50601|  443|  6|        21|      4948|        |2015/04/10T14:21:47.780|  393.500|2015/04/10T14:28:21.280|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|                 2607:f8b0:4002:c06::68|50606|  443|  6|        28|      8821|        |2015/04/10T14:21:50.480|  390.800|2015/04/10T14:28:21.280|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                   2001:500:1::803f:235|47417|   53| 17|         1|        75|        |2015/04/10T14:23:49.580|    0.150|2015/04/10T14:23:49.730|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:2d::d|58612|   53| 17|         1|        75|        |2015/04/10T14:23:51.680|    0.100|2015/04/10T14:23:51.780|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200d|50666|  443|  6|        11|      1373|        |2015/04/10T14:24:50.788|  248.100|2015/04/10T14:28:58.888|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::2003|50674|  443|  6|        11|      1373|        |2015/04/10T14:24:50.838|  248.050|2015/04/10T14:28:58.888|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::2001|50676|  443|  6|        14|      2164|        |2015/04/10T14:24:51.988|  246.900|2015/04/10T14:28:58.888|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::2003|50670|  443|  6|        11|      1373|        |2015/04/10T14:24:50.838|  248.050|2015/04/10T14:28:58.888|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200e|50671|  443|  6|        13|      1232|        |2015/04/10T14:24:50.838|  248.050|2015/04/10T14:28:58.888|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::2001|50672|  443|  6|        11|      1373|        |2015/04/10T14:24:50.838|  248.050|2015/04/10T14:28:58.888|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200e|50667|  443|  6|        11|      1373|        |2015/04/10T14:24:50.838|  248.050|2015/04/10T14:28:58.888|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                          2001:500:2::c|20505|33435| 17|        39|      3432|        |2015/04/10T14:23:35.360|   29.100|2015/04/10T14:24:04.460|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:2d::d|20506|33435| 17|        24|      2112|        |2015/04/10T14:24:13.322|    4.450|2015/04/10T14:24:17.772|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                    2001:503:ba3e::2:30|20503|33435| 17|        51|      4488|        |2015/04/10T14:23:04.222|   73.300|2015/04/10T14:24:17.522|  0|
  2607:2000:100:116:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|   22|59062|  6|         4|      1157|        |2015/04/10T14:24:31.712|    0.150|2015/04/10T14:24:31.862|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|  2607:2000:100:116:92e2:baff:fe5a:7ded|59224|   22|  6|         6|       450|        |2015/04/10T14:29:32.034|    0.150|2015/04/10T14:29:32.184|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|              2001:67c:2e8:14:ffff::229|56056|  123| 17|         1|        96|        |2015/04/10T14:24:34.972|    0.200|2015/04/10T14:24:35.172|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|  2607:2000:100:116:92e2:baff:fe5a:7ded|58632|   80|  6|         5|       488|        |2015/04/10T14:29:45.122|    0.100|2015/04/10T14:29:45.222|  0|
  2607:2000:100:116:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|   80|58632|  6|         5|       959|        |2015/04/10T14:29:45.122|    0.100|2015/04/10T14:29:45.222|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|  2607:2000:100:116:92e2:baff:fe5a:7ded|57816|  443|  6|         9|      1130|        |2015/04/10T14:29:45.072|    0.150|2015/04/10T14:29:45.222|  0|
  2607:2000:100:116:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|  443|57816|  6|         9|      2563|        |2015/04/10T14:29:45.072|    0.150|2015/04/10T14:29:45.222|  0|
   2607:2000:100:116:25a7:dbb7:884:f0d0|             2607:2000:100:110:180::232|54987|  445|  6|         1|        72|        |2015/04/10T14:24:51.854|    0.250|2015/04/10T14:24:52.104|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:84::b|20504|33435| 17|        48|      4224|        |2015/04/10T14:23:42.254|   73.450|2015/04/10T14:24:55.704|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|              2604:a880:800:10::99:7006|56056|  123| 17|         1|        96|        |2015/04/10T14:24:53.654|    0.250|2015/04/10T14:24:53.904|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:3::42|39541|   53| 17|         1|        80|        |2015/04/10T14:24:58.926|    0.050|2015/04/10T14:24:58.976|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                           2001:7fe::53|45461|   53| 17|         1|        79|        |2015/04/10T14:25:02.772|    0.050|2015/04/10T14:25:02.822|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|   2002:8891:e71f:8:92e2:baff:fe5a:7ded|43249|  443|  6|         9|      1130|        |2015/04/10T14:30:04.084|    0.100|2015/04/10T14:30:04.184|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|   2002:8891:e71f:8:92e2:baff:fe5a:7ded|47460|   80|  6|         5|       488|        |2015/04/10T14:30:00.084|    0.000|2015/04/10T14:30:00.084|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|                 2607:f8b0:4002:c06::5e|50745|  443|  6|        11|      1373|        |2015/04/10T14:25:58.584|  240.200|2015/04/10T14:29:58.784|  0|
   2002:8891:e71f:8:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|   80|47460|  6|         5|       959|        |2015/04/10T14:30:00.084|    0.000|2015/04/10T14:30:00.084|  0|
            fec0::8:92e2:baff:fe5a:7ded|             fec0::8:225:90ff:fe8e:b4a0|   80|50586|  6|         5|       959|        |2015/04/10T14:30:05.084|    0.100|2015/04/10T14:30:05.184|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|   2002:8891:e71f:8:92e2:baff:fe5a:7ded|50976|   22|  6|         6|       450|        |2015/04/10T14:30:05.084|    0.100|2015/04/10T14:30:05.184|  0|
   2002:8891:e71f:8:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|   22|50813|  6|         4|      1157|        |2015/04/10T14:25:04.722|    0.150|2015/04/10T14:25:04.872|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                            2001:7fd::1|49604|   53| 17|         1|        79|        |2015/04/10T14:25:10.922|    0.100|2015/04/10T14:25:11.022|  0|
            fec0::8:92e2:baff:fe5a:7ded|             fec0::8:225:90ff:fe8e:b4a0|   22|60961|  6|         4|      1157|        |2015/04/10T14:25:08.722|    0.250|2015/04/10T14:25:08.972|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:2f::f|53074|   53| 17|         1|        79|        |2015/04/10T14:25:11.972|    0.050|2015/04/10T14:25:12.022|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200e|50756|   80|  6|        11|      1697|        |2015/04/10T14:26:01.234|  249.350|2015/04/10T14:30:10.584|  0|
   2002:8891:e71f:8:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|  443|43249|  6|         9|      2563|        |2015/04/10T14:30:04.084|    0.100|2015/04/10T14:30:04.184|  0|
             fec0::8:225:90ff:fe8e:b4a0|            fec0::8:92e2:baff:fe5a:7ded|32892|   22|  6|         6|       450|        |2015/04/10T14:30:09.084|    0.200|2015/04/10T14:30:09.284|  0|
   2607:2000:100:116:d6ae:52ff:fec1:9de|               2607:f8b0:4008:808::200e|34714|  443|  6|         6|       933|        |2015/04/10T14:30:12.684|    0.200|2015/04/10T14:30:12.884|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|                 2607:f8b0:4002:c06::5e|50675|  443|  6|        42|     15238|        |2015/04/10T14:24:50.934|  317.850|2015/04/10T14:30:08.784|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|                 2607:f8b0:4002:c06::9b|50767|  443|  6|        11|      1373|        |2015/04/10T14:26:01.284|  247.500|2015/04/10T14:30:08.784|  0|
             fec0::8:225:90ff:fe8e:b4a0|            fec0::8:92e2:baff:fe5a:7ded|50921|  443|  6|         9|      1130|        |2015/04/10T14:30:08.084|    0.200|2015/04/10T14:30:08.284|  0|
            fec0::8:92e2:baff:fe5a:7ded|             fec0::8:225:90ff:fe8e:b4a0|  443|50921|  6|         9|      2563|        |2015/04/10T14:30:08.084|    0.200|2015/04/10T14:30:08.284|  0|
             fec0::8:225:90ff:fe8e:b4a0|            fec0::8:92e2:baff:fe5a:7ded|50586|   80|  6|         5|       488|        |2015/04/10T14:30:05.084|    0.100|2015/04/10T14:30:05.184|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                           2001:dc3::35|42402|   53| 17|         1|        79|        |2015/04/10T14:25:17.072|    0.100|2015/04/10T14:25:17.172|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|                 2607:f8b0:4002:c06::5e|50744|  443|  6|        21|      6746|        |2015/04/10T14:25:58.498|  260.250|2015/04/10T14:30:18.748|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:3::42|33204|   53| 17|         1|        79|        |2015/04/10T14:25:22.122|    0.150|2015/04/10T14:25:22.272|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:84::b|52621|   53| 17|         1|        79|        |2015/04/10T14:25:27.102|    0.000|2015/04/10T14:25:27.102|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200e|50758|   80|  6|        14|      3659|        |2015/04/10T14:26:01.230|  269.600|2015/04/10T14:30:30.830|  0|
   2607:2000:100:116:25a7:dbb7:884:f0d0|               2607:f8b0:4008:808::200e|54990|  443|  6|        19|      2526|        |2015/04/10T14:26:34.580|  240.050|2015/04/10T14:30:34.630|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200e|50800|  443|  6|        14|      2140|        |2015/04/10T14:26:22.130|  246.650|2015/04/10T14:30:28.780|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                          2001:500:2::c|44127|   53| 17|         1|        79|        |2015/04/10T14:25:39.522|    0.150|2015/04/10T14:25:39.672|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:2d::d|51488|   53| 17|         1|        79|        |2015/04/10T14:25:38.372|    0.050|2015/04/10T14:25:38.422|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                   2001:500:1::803f:235|40376|   53| 17|         1|        79|        |2015/04/10T14:25:42.778|    0.150|2015/04/10T14:25:42.928|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                     2001:503:c27::2:30|59958|   53| 17|         1|        79|        |2015/04/10T14:25:44.328|    0.150|2015/04/10T14:25:44.478|  0|
  2607:2000:100:116:e9f5:a850:8fcf:ba58|                 2607:f8b0:4002:c03::10|40412|  993|  6|         5|       414|        |2015/04/10T14:31:08.814|    0.100|2015/04/10T14:31:08.914|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|               2001:dc0:2001:0:4608::25|33696|   53| 17|         1|       104|        |2015/04/10T14:26:11.146|    0.100|2015/04/10T14:26:11.246|  0|
  2607:2000:100:116:1888:6092:2000:2052|           2001:dc0:4001:1:0:1836:0:140|34122|   53| 17|         1|       104|        |2015/04/10T14:26:11.046|    0.200|2015/04/10T14:26:11.246|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|                         2001:67c:e0::3|29213|   53| 17|         1|       104|        |2015/04/10T14:26:11.146|    0.100|2015/04/10T14:26:11.246|  0|
              fe80::baca:3aff:fe84:1db7|              fe80::d2c7:89ff:fea9:4880|    0|34560| 58|         1|        72|        |2015/04/10T14:26:16.096|    0.000|2015/04/10T14:26:16.096|  0|
  2607:2000:100:116:92e2:baff:fe68:7d59|                     2001:18e8:2:6::147|33859| 8880|  6|         2|       160|        |2015/04/10T14:26:11.878|    1.000|2015/04/10T14:26:12.878|  0|
              fe80::92e2:baff:fe68:7d59|              fe80::d2c7:89ff:fea9:4880|    0|34560| 58|         1|        72|        |2015/04/10T14:26:16.878|    0.100|2015/04/10T14:26:16.978|  0|
              fe80::1a03:73ff:fe27:77ee|              fe80::d2c7:89ff:fea9:4880|    0|34560| 58|         1|        72|        |2015/04/10T14:26:16.446|    0.250|2015/04/10T14:26:16.696|  0|
  2607:2000:100:116:1888:6092:2000:2052|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T14:26:17.196|    0.250|2015/04/10T14:26:17.446|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T14:26:17.196|    0.250|2015/04/10T14:26:17.446|  0|
              fe80::baca:3aff:fe84:1db7|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T14:26:21.146|    0.100|2015/04/10T14:26:21.246|  0|
              fe80::1a03:73ff:fe27:77ee|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T14:26:21.246|    0.000|2015/04/10T14:26:21.246|  0|
              fe80::92e2:baff:fe68:7d59|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T14:26:21.928|    0.200|2015/04/10T14:26:22.128|  0|
  2607:2000:100:116:92e2:baff:fe68:7d59|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T14:26:26.614|    0.150|2015/04/10T14:26:26.764|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                   2001:500:1::803f:235|20507|33435| 17|        48|      4224|        |2015/04/10T14:25:01.952|  107.450|2015/04/10T14:26:49.402|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                     2001:503:c27::2:30|20508|33435| 17|        45|      3960|        |2015/04/10T14:25:44.342|   72.800|2015/04/10T14:26:57.142|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200e|50743|  443|  6|        18|      3885|        |2015/04/10T14:25:58.226|  360.650|2015/04/10T14:31:58.876|  0|
              fe80::da50:e6ff:fe3b:76fa|              fe80::d2c7:89ff:fea9:4880|    0|34560| 58|         2|       144|        |2015/04/10T14:22:05.348|  302.250|2015/04/10T14:27:07.598|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|              2604:a880:800:10::99:7003|  123|  123| 17|         1|        96|        |2015/04/10T14:27:12.598|    0.100|2015/04/10T14:27:12.698|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                            2001:7fd::1|34245|   53| 17|         1|        75|        |2015/04/10T14:27:14.256|    0.000|2015/04/10T14:27:14.256|  0|
               fe80::225:90ff:fe8e:b4a0|              fe80::d2c7:89ff:fea9:4880|    0|34560| 58|         1|        72|        |2015/04/10T14:27:17.642|    0.250|2015/04/10T14:27:17.892|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:3::42|41152|   53| 17|         1|        75|        |2015/04/10T14:27:24.092|    0.200|2015/04/10T14:27:24.292|  0|
               fe80::225:90ff:fe8e:b4a0|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T14:27:22.742|    0.000|2015/04/10T14:27:22.742|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T14:27:27.456|    0.100|2015/04/10T14:27:27.556|  0|
                fe80::529:d1c:48ee:a855|              fe80::d2c7:89ff:fea9:4880|    0|34560| 58|        28|      2016|        |2015/04/10T14:00:36.820| 1902.850|2015/04/10T14:32:19.670|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|              2001:67c:2e8:22::c100:68b|45639|   80|  6|         5|       476|        |2015/04/10T14:32:34.170|    0.050|2015/04/10T14:32:34.220|  0|
   2607:2000:100:116:225:90ff:fe8e:b394|              2604:a880:800:10::99:7004|  123|  123| 17|         1|        96|        |2015/04/10T14:27:40.702|    0.150|2015/04/10T14:27:40.852|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                   2a01:4f8:110:13cd::2|20509|33435| 17|        66|      5808|        |2015/04/10T14:26:14.652|   83.650|2015/04/10T14:27:38.302|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                   2001:500:1::803f:235|52381|   53| 17|         1|        75|        |2015/04/10T14:27:43.858|    0.050|2015/04/10T14:27:43.908|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:2d::d|46435|   53| 17|         1|        75|        |2015/04/10T14:27:41.658|    0.200|2015/04/10T14:27:41.858|  0|
               fe80::225:90ff:fe8e:b394|              fe80::d2c7:89ff:fea9:4880|    0|34560| 58|         1|        72|        |2015/04/10T14:27:45.658|    0.050|2015/04/10T14:27:45.708|  0|
   2607:2000:100:116:225:90ff:fe8e:b394|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T14:27:47.458|    0.050|2015/04/10T14:27:47.508|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                    2604:180::dedc:2bcf|  123|  123| 17|         1|        96|        |2015/04/10T14:27:51.468|    0.100|2015/04/10T14:27:51.568|  0|
               fe80::225:90ff:fe8e:b394|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T14:27:50.672|    0.100|2015/04/10T14:27:50.772|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                            2001:7fd::1|33752|   53| 17|         1|        80|        |2015/04/10T14:27:56.372|    0.050|2015/04/10T14:27:56.422|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         2|       128|        |2015/04/10T14:26:17.196|   99.850|2015/04/10T14:27:57.046|  0|
              fe80::baca:3aff:fe84:37d6|              fe80::d2c7:89ff:fea9:4880|    0|34560| 58|         2|       144|        |2015/04/10T14:26:16.446|  100.350|2015/04/10T14:27:56.796|  0|
              fe80::baca:3aff:fe84:37d6|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         2|       128|        |2015/04/10T14:26:21.210|  100.350|2015/04/10T14:28:01.560|  0|
   2607:2000:100:116:d6ae:52ff:fec1:9de|               2607:f8b0:4008:808::200e|34715|  443|  6|        23|      4637|        |2015/04/10T14:30:12.624|  176.850|2015/04/10T14:33:09.474|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|             2001:67c:2e8:11::c100:1321|20510|33435| 17|        51|      4488|        |2015/04/10T14:26:59.018|   77.850|2015/04/10T14:28:16.868|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                    2c0f:ff40:30:161::4|    0|32768| 58|        48|      4608|        |2015/04/10T14:28:32.792|   32.150|2015/04/10T14:29:04.942|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                            2001:7fd::1|35554|   53| 17|         1|        79|        |2015/04/10T14:29:08.792|    0.250|2015/04/10T14:29:09.042|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                   2a01:4f8:130:628f::2|20511|33435| 17|        66|      5808|        |2015/04/10T14:27:39.342|   87.400|2015/04/10T14:29:06.742|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:2f::f|37209|   53| 17|         1|        79|        |2015/04/10T14:29:10.642|    0.200|2015/04/10T14:29:10.842|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200e|50673|  443|  6|        39|     12251|        |2015/04/10T14:24:50.806|  558.100|2015/04/10T14:34:08.906|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200e|50669|  443|  6|        32|     13427|        |2015/04/10T14:24:50.806|  558.100|2015/04/10T14:34:08.906|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200e|50830|  443|  6|        15|      4309|        |2015/04/10T14:29:59.906|  249.000|2015/04/10T14:34:08.906|  0|
  2607:2000:100:116:5074:8c32:5dd2:d949|               2607:f8b0:4008:808::200e|50831|  443|  6|        11|      1373|        |2015/04/10T14:30:00.206|  248.700|2015/04/10T14:34:08.906|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                           2001:7fe::53|59151|   53| 17|         1|        79|        |2015/04/10T14:29:14.460|    0.200|2015/04/10T14:29:14.660|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                           2001:dc3::35|58513|   53| 17|         1|        79|        |2015/04/10T14:29:19.792|    0.250|2015/04/10T14:29:20.042|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:3::42|60397|   53| 17|         1|        79|        |2015/04/10T14:29:23.996|    0.150|2015/04/10T14:29:24.146|  0|
