                                    sIP|                                    dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sen|
   2002:8891:e71f:8:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|   22|49151|  6|         4|      1157|        |2015/04/10T13:45:04.726|    0.150|2015/04/10T13:45:04.876|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|   2002:8891:e71f:8:92e2:baff:fe5a:7ded|41565|  443|  6|         9|      1130|        |2015/04/10T13:50:03.776|    0.100|2015/04/10T13:50:03.876|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|   2002:8891:e71f:8:92e2:baff:fe5a:7ded|45777|   80|  6|         5|       488|        |2015/04/10T13:49:59.776|    0.250|2015/04/10T13:50:00.026|  0|
   2002:8891:e71f:8:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|   80|45777|  6|         5|       959|        |2015/04/10T13:49:59.776|    0.250|2015/04/10T13:50:00.026|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|   2002:8891:e71f:8:92e2:baff:fe5a:7ded|49291|   22|  6|         6|       450|        |2015/04/10T13:50:04.776|    0.100|2015/04/10T13:50:04.876|  0|
            fec0::8:92e2:baff:fe5a:7ded|             fec0::8:225:90ff:fe8e:b4a0|   80|48903|  6|         5|       959|        |2015/04/10T13:50:04.776|    0.100|2015/04/10T13:50:04.876|  0|
            fec0::8:92e2:baff:fe5a:7ded|             fec0::8:225:90ff:fe8e:b4a0|   22|59307|  6|         4|      1157|        |2015/04/10T13:45:08.318|    0.250|2015/04/10T13:45:08.568|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                           2001:7fe::53|51139|   53| 17|         1|        79|        |2015/04/10T13:45:05.068|    0.150|2015/04/10T13:45:05.218|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                           2001:dc3::35|57849|   53| 17|         1|        79|        |2015/04/10T13:45:13.026|    0.050|2015/04/10T13:45:13.076|  0|
             fec0::8:225:90ff:fe8e:b4a0|            fec0::8:92e2:baff:fe5a:7ded|59440|   22|  6|         6|       450|        |2015/04/10T13:50:08.776|    0.200|2015/04/10T13:50:08.976|  0|
   2607:2000:100:116:d6ae:52ff:fec1:9de|               2607:f8b0:4008:808::200e|34695|  443|  6|         6|       933|        |2015/04/10T13:50:12.626|    0.200|2015/04/10T13:50:12.826|  0|
   2002:8891:e71f:8:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|  443|41565|  6|         9|      2563|        |2015/04/10T13:50:03.776|    0.100|2015/04/10T13:50:03.876|  0|
             fec0::8:225:90ff:fe8e:b4a0|            fec0::8:92e2:baff:fe5a:7ded|48903|   80|  6|         5|       488|        |2015/04/10T13:50:04.776|    0.100|2015/04/10T13:50:04.876|  0|
             fec0::8:225:90ff:fe8e:b4a0|            fec0::8:92e2:baff:fe5a:7ded|49238|  443|  6|         9|      1130|        |2015/04/10T13:50:07.776|    0.200|2015/04/10T13:50:07.976|  0|
            fec0::8:92e2:baff:fe5a:7ded|             fec0::8:225:90ff:fe8e:b4a0|  443|49238|  6|         9|      2563|        |2015/04/10T13:50:07.776|    0.200|2015/04/10T13:50:07.976|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:2f::f|52455|   53| 17|         1|        79|        |2015/04/10T13:45:16.426|    0.200|2015/04/10T13:45:16.626|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:3::42|36946|   53| 17|         1|        79|        |2015/04/10T13:45:20.976|    0.000|2015/04/10T13:45:20.976|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:84::b|54944|   53| 17|         1|        79|        |2015/04/10T13:45:28.352|    0.050|2015/04/10T13:45:28.402|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                          2001:500:2::c|33726|   53| 17|         1|        79|        |2015/04/10T13:45:32.072|    0.200|2015/04/10T13:45:32.272|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                   2001:500:1::803f:235|52066|   53| 17|         1|        79|        |2015/04/10T13:45:43.188|    0.250|2015/04/10T13:45:43.438|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:2d::d|53546|   53| 17|         1|        79|        |2015/04/10T13:45:43.738|    0.200|2015/04/10T13:45:43.938|  0|
   2607:2000:100:116:225:90ff:fe8e:b61c|              2607:fc18:bad:dead:beef::|  123|  123| 17|         1|        96|        |2015/04/10T13:45:52.488|    0.150|2015/04/10T13:45:52.638|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                     2001:503:c27::2:30|38836|   53| 17|         1|        79|        |2015/04/10T13:45:52.938|    0.200|2015/04/10T13:45:53.138|  0|
               fe80::225:90ff:fe8e:b61c|              fe80::d2c7:89ff:fea9:4880|    0|34560| 58|         1|        72|        |2015/04/10T13:45:57.492|    0.000|2015/04/10T13:45:57.492|  0|
               fe80::225:90ff:fe8e:b61c|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T13:46:02.588|    0.050|2015/04/10T13:46:02.638|  0|
   2607:2000:100:116:225:90ff:fe8e:b61c|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T13:46:06.576|    0.150|2015/04/10T13:46:06.726|  0|
  2607:2000:100:116:e9f5:a850:8fcf:ba58|                   2620:0:861:ed1a::1:a|54837|  443|  6|        81|     11597|        |2015/04/10T13:47:53.276|  188.600|2015/04/10T13:51:01.876|  0|
  2607:2000:100:116:e9f5:a850:8fcf:ba58|                     2620:0:861:ed1a::1|55928|  443|  6|        77|     12765|        |2015/04/10T13:47:54.668|  233.700|2015/04/10T13:51:48.368|  0|
  2607:2000:100:116:e9f5:a850:8fcf:ba58|                   2620:0:861:ed1a::2:b|39687|  443|  6|        29|      5465|        |2015/04/10T13:48:48.218|  181.150|2015/04/10T13:51:49.368|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                            2001:7fd::1|59493|   53| 17|         1|        75|        |2015/04/10T13:47:04.708|    0.050|2015/04/10T13:47:04.758|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:3::42|46929|   53| 17|         1|        75|        |2015/04/10T13:47:23.504|    0.200|2015/04/10T13:47:23.704|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                 2607:f8b0:4002:c06::63|    0|32768| 58|        36|      3168|        |2015/04/10T13:47:34.724|    4.900|2015/04/10T13:47:39.624|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|           2001:dc0:4001:1:0:1836:0:140| 8757|   53| 17|         1|        90|        |2015/04/10T13:47:43.038|    0.100|2015/04/10T13:47:43.138|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|           2001:dc0:4001:1:0:1836:0:140|42259|   53| 17|         1|        90|        |2015/04/10T13:47:43.038|    0.100|2015/04/10T13:47:43.138|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|           2001:dc0:4001:1:0:1836:0:140|52552|   53| 17|         1|        90|        |2015/04/10T13:47:43.038|    0.100|2015/04/10T13:47:43.138|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|           2001:dc0:4001:1:0:1836:0:140|18234|   53| 17|         1|        90|        |2015/04/10T13:47:43.038|    0.100|2015/04/10T13:47:43.138|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|           2001:dc0:4001:1:0:1836:0:140|57016|   53| 17|         1|        90|        |2015/04/10T13:47:43.038|    0.100|2015/04/10T13:47:43.138|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|           2001:dc0:4001:1:0:1836:0:140|39639|   53| 17|         1|        90|        |2015/04/10T13:47:43.038|    0.100|2015/04/10T13:47:43.138|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:2d::d|56609|   53| 17|         1|        75|        |2015/04/10T13:47:44.920|    0.200|2015/04/10T13:47:45.120|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|                2001:13c7:7002:3000::11| 7799|   53| 17|         1|        91|        |2015/04/10T13:47:43.138|    0.250|2015/04/10T13:47:43.388|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|                 2001:dc0:1:0:4777::140|35566|   53| 17|         1|        98|        |2015/04/10T13:47:43.138|    0.250|2015/04/10T13:47:43.388|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|               2001:dc0:2001:0:4608::25|38338|   53| 17|         1|        90|        |2015/04/10T13:47:43.238|    0.150|2015/04/10T13:47:43.388|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|               2001:dc0:2001:0:4608::25| 3305|   53| 17|         1|        90|        |2015/04/10T13:47:43.238|    0.150|2015/04/10T13:47:43.388|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|               2001:dc0:2001:0:4608::25|48012|   53| 17|         1|        90|        |2015/04/10T13:47:43.238|    0.150|2015/04/10T13:47:43.388|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|               2001:dc0:2001:0:4608::25|31747|   53| 17|         1|        90|        |2015/04/10T13:47:43.238|    0.150|2015/04/10T13:47:43.388|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|               2001:dc0:2001:0:4608::25|57269|   53| 17|         1|        91|        |2015/04/10T13:47:43.238|    0.150|2015/04/10T13:47:43.388|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|                2001:13c7:7002:3000::11|46206|   53| 17|         1|        91|        |2015/04/10T13:47:43.138|    0.250|2015/04/10T13:47:43.388|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|                 2001:dc0:1:0:4777::140|14708|   53| 17|         1|        98|        |2015/04/10T13:47:43.138|    0.250|2015/04/10T13:47:43.388|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|               2001:dc0:2001:0:4608::25| 9992|   53| 17|         1|        90|        |2015/04/10T13:47:43.238|    0.150|2015/04/10T13:47:43.388|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|               2001:dc0:2001:0:4608::25|50199|   53| 17|         1|        91|        |2015/04/10T13:47:43.238|    0.150|2015/04/10T13:47:43.388|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|               2001:dc0:2001:0:4608::25|16291|   53| 17|         1|        93|        |2015/04/10T13:47:43.238|    0.150|2015/04/10T13:47:43.388|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|               2001:dc0:2001:0:4608::25|23910|   53| 17|         1|        90|        |2015/04/10T13:47:43.238|    0.150|2015/04/10T13:47:43.388|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|               2001:dc0:2001:0:4608::25|38534|   53| 17|         1|        93|        |2015/04/10T13:47:43.238|    0.150|2015/04/10T13:47:43.388|  0|
  2607:2000:100:116:1888:6092:2000:2052|                   2001:500:13::c7d4:35|47759|   53| 17|         1|        98|        |2015/04/10T13:47:43.888|    0.000|2015/04/10T13:47:43.888|  0|
              fe80::1a03:73ff:fe27:77ee|              fe80::d2c7:89ff:fea9:4880|    0|34560| 58|         1|        72|        |2015/04/10T13:47:47.994|    0.200|2015/04/10T13:47:48.194|  0|
              fe80::baca:3aff:fe84:1db7|              fe80::d2c7:89ff:fea9:4880|    0|34560| 58|         1|        72|        |2015/04/10T13:47:48.844|    0.100|2015/04/10T13:47:48.944|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                         2001:67c:e0::3|37184|   53| 17|         1|        90|        |2015/04/10T13:47:48.894|    0.050|2015/04/10T13:47:48.944|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                         2001:67c:e0::3|34014|   53| 17|         1|        90|        |2015/04/10T13:47:48.894|    0.050|2015/04/10T13:47:48.944|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                         2001:67c:e0::3| 1164|   53| 17|         1|        90|        |2015/04/10T13:47:48.944|    0.000|2015/04/10T13:47:48.944|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                         2001:67c:e0::3|13456|   53| 17|         1|        90|        |2015/04/10T13:47:48.944|    0.000|2015/04/10T13:47:48.944|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                         2001:67c:e0::3|41267|   53| 17|         1|        91|        |2015/04/10T13:47:48.944|    0.000|2015/04/10T13:47:48.944|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                         2001:67c:e0::3|16449|   53| 17|         1|        90|        |2015/04/10T13:47:48.944|    0.000|2015/04/10T13:47:48.944|  0|
